ticker,NTHWQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.2841
2000-01-04,1.4245
2000-01-05,3.0899
2000-01-06,-0.2725
2000-01-07,0.2732
2000-01-10,-1.6349
2000-01-11,-2.2161
2000-01-12,1.1331
2000-01-13,1.1204
2000-01-14,-1.9391
2000-01-18,0.0
2000-01-19,2.8249
2000-01-20,-2.1978
2000-01-21,1.1236
2000-01-24,1.6667
2000-01-25,-2.1858
2000-01-26,-0.5587
2000-01-27,-0.8427
2000-01-28,0.8499
2000-01-31,-0.5618
2000-02-01,1.1299
2000-02-02,0.2793
2000-02-03,2.507
2000-02-04,0.0
2000-02-07,-2.7174
2000-02-08,0.0
2000-02-09,0.2793
2000-02-10,2.507
2000-02-11,0.1196
2000-02-14,0.0
2000-02-15,1.0989
2000-02-16,-3.2609
2000-02-17,-0.5618
2000-02-18,-1.1299
2000-02-22,0.0
2000-02-23,1.1429
2000-02-24,-0.2825
2000-02-25,-0.8499
2000-02-28,0.0
2000-02-29,3.4286
2000-03-01,-1.105
2000-03-02,-1.3966
2000-03-03,-0.2833
2000-03-06,-0.8523
2000-03-07,1.4327
2000-03-08,1.6949
2000-03-09,1.1111
2000-03-10,0.5495
2000-03-13,-3.2787
2000-03-14,-0.8475
2000-03-15,1.4245
2000-03-16,-0.8427
2000-03-17,0.0
2000-03-20,-1.4163999999999999
2000-03-21,-1.1494
2000-03-22,-0.5814
2000-03-23,1.1696
2000-03-24,-0.289
2000-03-27,1.1594
2000-03-28,-1.1461000000000001
2000-03-29,0.5797
2000-03-30,-1.4409
2000-03-31,-3.5088
2000-04-03,6.3636
2000-04-04,-1.4245
2000-04-05,1.7341
2000-04-06,-0.5682
2000-04-07,0.0
2000-04-10,-0.8571
2000-04-11,0.2882
2000-04-12,0.5747
2000-04-13,1.7143000000000002
2000-04-14,-0.2809
2000-04-17,0.8451
2000-04-18,-1.1173
2000-04-19,0.2825
2000-04-20,-0.8451
2000-04-24,0.5682
2000-04-25,0.2825
2000-04-26,1.1268
2000-04-27,2.507
2000-04-28,0.0
2000-05-01,1.6303999999999998
2000-05-02,-3.2086
2000-05-03,3.5911999999999997
2000-05-04,0.8
2000-05-05,-1.3228
2000-05-08,0.5362
2000-05-09,-0.5333
2000-05-10,0.0
2000-05-11,1.4584
2000-05-12,-0.5348
2000-05-15,0.8065
2000-05-16,-0.5333
2000-05-17,-1.3405
2000-05-18,0.0
2000-05-19,-0.5435
2000-05-22,0.2732
2000-05-23,-1.0899
