date,Washing machine
2004-01-04,75.0
2004-01-11,80.0
2004-01-18,87.0
2004-01-25,75.0
2004-02-01,79.0
2004-02-08,72.0
2004-02-15,89.0
2004-02-22,73.0
2004-02-29,88.0
2004-03-07,68.0
2004-03-14,86.0
2004-03-21,89.0
2004-03-28,85.0
2004-04-04,78.0
2004-04-11,66.0
2004-04-18,81.0
2004-04-25,76.0
2004-05-02,75.0
2004-05-09,70.0
2004-05-16,77.0
2004-05-23,69.0
2004-05-30,83.0
2004-06-06,80.0
2004-06-13,80.0
2004-06-20,91.0
2004-06-27,91.0
2004-07-04,91.0
2004-07-11,100.0
2004-07-18,76.0
2004-07-25,76.0
2004-08-01,82.0
2004-08-08,91.0
2004-08-15,89.0
2004-08-22,85.0
2004-08-29,83.0
2004-09-05,89.0
2004-09-12,73.0
2004-09-19,70.0
2004-09-26,82.0
2004-10-03,72.0
2004-10-10,77.0
2004-10-17,81.0
2004-10-24,67.0
2004-10-31,68.0
2004-11-07,74.0
2004-11-14,82.0
2004-11-21,77.0
2004-11-28,78.0
2004-12-05,71.0
2004-12-12,72.0
2004-12-19,78.0
2004-12-26,99.0
2005-01-02,92.0
2005-01-09,83.0
2005-01-16,86.0
2005-01-23,87.0
2005-01-30,83.0
2005-02-06,82.0
2005-02-13,73.0
2005-02-20,80.0
2005-02-27,75.0
2005-03-06,75.0
2005-03-13,74.0
2005-03-20,77.0
2005-03-27,80.0
2005-04-03,84.0
2005-04-10,79.0
2005-04-17,76.0
2005-04-24,80.0
2005-05-01,77.0
2005-05-08,78.0
2005-05-15,82.0
2005-05-22,79.0
2005-05-29,86.0
2005-06-05,77.0
2005-06-12,82.0
2005-06-19,94.0
2005-06-26,79.0
2005-07-03,89.0
2005-07-10,88.0
2005-07-17,81.0
2005-07-24,90.0
2005-07-31,89.0
2005-08-07,84.0
2005-08-14,89.0
2005-08-21,88.0
2005-08-28,75.0
2005-09-04,93.0
2005-09-11,77.0
2005-09-18,79.0
2005-09-25,73.0
2005-10-02,85.0
2005-10-09,78.0
2005-10-16,75.0
2005-10-23,78.0
2005-10-30,72.0
2005-11-06,84.0
2005-11-13,73.0
2005-11-20,77.0
