date,Coupon
2004-01-04,75.0
2004-01-11,65.0
2004-01-18,67.0
2004-01-25,65.0
2004-02-01,64.0
2004-02-08,65.0
2004-02-15,62.0
2004-02-22,58.0
2004-02-29,55.0
2004-03-07,63.0
2004-03-14,63.0
2004-03-21,60.0
2004-03-28,61.0
2004-04-04,64.0
2004-04-11,59.0
2004-04-18,62.0
2004-04-25,66.0
2004-05-02,69.0
2004-05-09,61.0
2004-05-16,69.0
2004-05-23,71.0
2004-05-30,67.0
2004-06-06,69.0
2004-06-13,70.0
2004-06-20,79.0
2004-06-27,76.0
2004-07-04,71.0
2004-07-11,78.0
2004-07-18,79.0
2004-07-25,75.0
2004-08-01,76.0
2004-08-08,75.0
2004-08-15,76.0
2004-08-22,70.0
2004-08-29,66.0
2004-09-05,66.0
2004-09-12,61.0
2004-09-19,64.0
2004-09-26,65.0
2004-10-03,65.0
2004-10-10,69.0
2004-10-17,71.0
2004-10-24,62.0
2004-10-31,63.0
2004-11-07,75.0
2004-11-14,78.0
2004-11-21,98.0
2004-11-28,89.0
2004-12-05,98.0
2004-12-12,100.0
2004-12-19,97.0
2004-12-26,92.5
2005-01-02,65.0
2005-01-09,65.0
2005-01-16,60.0
2005-01-23,59.0
2005-01-30,62.0
2005-02-06,61.0
2005-02-13,59.0
2005-02-20,59.0
2005-02-27,55.0
2005-03-06,57.0
2005-03-13,58.0
2005-03-20,59.0
2005-03-27,57.0
2005-04-03,55.0
2005-04-10,55.0
2005-04-17,54.0
2005-04-24,56.0
2005-05-01,68.0
2005-05-08,57.0
2005-05-15,58.0
2005-05-22,63.0
2005-05-29,65.0
2005-06-05,62.0
2005-06-12,72.0
2005-06-19,64.0
2005-06-26,67.0
2005-07-03,62.0
2005-07-10,67.0
2005-07-17,63.0
2005-07-24,73.0
2005-07-31,71.0
2005-08-07,70.0
2005-08-14,68.0
2005-08-21,76.0
2005-08-28,66.0
2005-09-04,67.0
2005-09-11,58.0
2005-09-18,57.0
2005-09-25,58.0
2005-10-02,59.0
2005-10-09,61.0
2005-10-16,56.0
2005-10-23,57.0
2005-10-30,59.0
2005-11-06,70.0
2005-11-13,66.0
2005-11-20,84.0
2005-11-27,95.0
2005-12-04,96.0
2005-12-11,100.0
2005-12-18,92.0
2005-12-25,75.0
2006-01-01,62.0
2006-01-08,53.0
2006-01-15,53.0
2006-01-22,50.0
2006-01-29,49.0
2006-02-05,46.0
2006-02-12,51.0
2006-02-19,51.0
2006-02-26,48.0
2006-03-05,49.0
2006-03-12,49.0
