word,k,score
dow_jones,19,0.06867285075394912
election,21,0.06135356388624718
DOW_JONES,19,0.06071628353120282
debt,20,0.0592289659369271
DOW_JONES,7,0.05918270561615939
election,20,0.056164699551801596
food,3,0.054825237650853724
debt,13,0.05322943861320197
food,4,0.05264952787724348
election,27,0.05240303483457745
debt,12,0.05071160409413533
dow_jones,27,0.04975252985160256
fed,29,0.04904797262543459
dow_jones,28,0.04868603076128847
markets,4,0.048474637704069685
dow_jones,7,0.04779558437765722
county,20,0.047327691571180566
DOW_JONES,27,0.04609138622857896
DOW_JONES,28,0.04555494268131599
kentucky,4,0.04534028860022241
bonds,11,0.04507338761635987
buy,21,0.04479095280540845
debt,27,0.04470596728288017
leverage,20,0.04402096277389435
stock,8,0.043946231098005724
election,17,0.04369948287312555
markets,10,0.04260916205062938
debt,21,0.04254423904741692
election,18,0.04229790776634672
dow_jones,20,0.041870526583992596
invest,3,0.04181976556934336
debt,26,0.04178216916307302
leverage,25,0.04157994385486412
election,16,0.041322602122075495
ceo,15,0.04131392011785857
politics,21,0.041062220294859474
markets,8,0.04096024533253651
ceo,16,0.040945641509151094
risk,29,0.04079985656520979
leverage,13,0.04060714196131612
buy,20,0.04032853098546365
fed,30,0.04030479768677236
dow_jones,8,0.04028914518402702
inflation,8,0.040164902141730775
buy,19,0.04004226589328992
cash,8,0.039828989267687985
loss,8,0.039293322825049014
markets,26,0.03928986370852057
election,26,0.03912832064621921
DOW_JONES,20,0.03911335329993054
crash,21,0.03896433524282823
elected,26,0.03875662791270407
DOW_JONES,8,0.038664381045771114
leverage,12,0.03866419328074182
holiday,3,0.038580841592548445
elected,16,0.038547517930151654
movie,20,0.03840778214637645
risk,8,0.0381103662232717
risk,3,0.037957755748172055
debt,25,0.037785674774332194
crash,13,0.03743887157912603
world,19,0.03740528529836412
holiday,28,0.03718575406443321
votes,17,0.037161731793174925
banking,29,0.03713778523340739
bank,29,0.03707542364458858
oil,6,0.03665337741155018
invest,8,0.036635041804180646
holiday,21,0.03662939011389638
stocks,8,0.03638374092972586
ore,26,0.03634148374593997
banking,28,0.03620682788812599
food,2,0.036116236882232776
food,28,0.036059926487278356
cash,30,0.035918241963517034
movie,13,0.035799779676232206
party,19,0.035754684215042076
marriage,3,0.03571631479937624
holiday,29,0.035661139528431925
house,3,0.03562470204787161
stock,7,0.03554764736580571
world,9,0.0354464723820838
banking,7,0.035366076929012655
markets,21,0.03531479649068855
debt,28,0.035250416488592395
dow_jones,12,0.03522956600247165
fed,28,0.035221671503413675
votes,27,0.03521305015576287
conflict,4,0.03515726253848903
washington,8,0.035146462865505275
ceo,1,0.035141428625917334
leverage,21,0.035060514794634956
house,4,0.03494849503143417
markets,14,0.034863052822144525
religion,17,0.03484496031120168
water,3,0.03465560302950792
stock,9,0.034643721113857516
risk,2,0.03445163546229946
county,27,0.034314509687236885
travel,3,0.034304096683617814
food,21,0.034277288682426105
representatives,27,0.034138534822362
politics,22,0.03407852519132524
cash,3,0.03406016634975308
ore,28,0.034056690913513106
elected,27,0.03404653482956088
college,3,0.03404438851612447
market,13,0.033973532132921765
leverage,19,0.03390643582801855
color,3,0.03389601108347526
democratic,6,0.03382007146517608
leverage,14,0.03374606335004335
kentucky,29,0.033725957228405413
finance,8,0.03356697705619347
holiday,24,0.033540684514378236
oil,5,0.03351730123248919
kentucky,16,0.03349606235151004
county,21,0.03340389164331111
religion,3,0.033307969523163505
vermont,2,0.03319261114912625
bonds,7,0.033160718899496344
election,2,0.033081831451015134
kentucky,17,0.03300594254692871
happy,19,0.032965207984415226
office,29,0.03294682632752446
home,19,0.032919995405895866
representatives,28,0.03289441643132564
holiday,30,0.03282466796889135
water,4,0.0327791528647784
world,20,0.03276827941317625
religion,8,0.032726146536940864
vermont,3,0.03267672127441888
federal,29,0.03267600969993238
unemployment,18,0.03266697155996783
conflict,3,0.032653036940994966
ceo,29,0.032611055292254
ceo,8,0.032606720025134074
hedge,6,0.03248550722504243
markets,2,0.03247169733297999
house,19,0.0324189995815728
votes,20,0.032403914485998095
voter,21,0.032265012251229463
cash,1,0.03225119066905384
nasdaq,8,0.032248613869008055
world,8,0.032176123671392276
bonds,10,0.032146992972494286
texas,3,0.0321210673084771
markets,24,0.03210126140076528
debt,19,0.03205194817374335
holiday,23,0.0320514363225168
inflation,1,0.032042594701774535
holiday,22,0.031906111161275896
stocks,7,0.0318799037071866
leverage,22,0.03187913276097224
senate,20,0.03187704280988683
democratic,7,0.03184468238495342
holiday,27,0.0317694799857412
seats,18,0.03170063400503494
ltd,8,0.03169998855468396
elections,21,0.031671839886485184
world,21,0.03167006693777297
derivatives,15,0.031664986064604626
money,8,0.031639328329504515
kentucky,3,0.03162712428811738
markets,9,0.03160503172803803
markets,23,0.031598924778399
home,3,0.03158244677211673
holiday,19,0.03142717764030486
cash,28,0.03137694686870511
cash,15,0.0313375298145071
ore,24,0.031252631692922445
cash,29,0.031223337953233638
banking,15,0.03122192451024183
million,8,0.031192568518228974
dividend,23,0.031188712279211685
cash,7,0.03109840687483324
car,28,0.03109344598153094
water,28,0.03107354799665367
seats,5,0.031067709326866248
present,28,0.03106023687491895
