date,CRM UN Equity
2004-06-25,-5.7279
2004-06-26,
2004-06-27,
2004-06-28,1.2658
2004-06-29,2.5
2004-06-30,-2.0122
2004-07-01,-0.2489
2004-07-02,5.9264
2004-07-03,
2004-07-04,
2004-07-05,
2004-07-06,0.1178
2004-07-07,-4.0588
2004-07-08,-3.4948
2004-07-09,4.1931
2004-07-10,
2004-07-11,
2004-07-12,2.1341
2004-07-13,-4.0
2004-07-14,-2.6741
2004-07-15,-1.9808
2004-07-16,4.3025
2004-07-17,
2004-07-18,
2004-07-19,0.0625
2004-07-20,0.3123
2004-07-21,-27.1482
2004-07-22,10.9402
2004-07-23,0.4622
2004-07-24,
2004-07-25,
2004-07-26,1.8405
2004-07-27,-1.0542
2004-07-28,-1.1416
2004-07-29,-0.2309
2004-07-30,0.3858
2004-07-31,
2004-08-01,
2004-08-02,-1.5373
2004-08-03,-5.3084
2004-08-04,-1.2366
2004-08-05,-9.015
2004-08-06,-1.1927
2004-08-07,
2004-08-08,
2004-08-09,2.0427
2004-08-10,0.091
2004-08-11,-3.4545
2004-08-12,-5.9322
2004-08-13,-4.004
2004-08-14,
2004-08-15,
2004-08-16,1.3556
2004-08-17,12.8601
2004-08-18,8.9335
2004-08-19,1.841
2004-08-20,3.5333
2004-08-21,
2004-08-22,
2004-08-23,-0.7937
2004-08-24,2.16
2004-08-25,1.4879
2004-08-26,-0.463
2004-08-27,1.938
2004-08-28,
2004-08-29,
2004-08-30,0.1521
2004-08-31,-1.2908
2004-09-01,2.5385
2004-09-02,4.2011
2004-09-03,-1.0079
2004-09-04,
2004-09-05,
2004-09-06,
2004-09-07,-2.3273
2004-09-08,-1.4147
2004-09-09,-0.5287
2004-09-10,8.2005
2004-09-11,
2004-09-12,
2004-09-13,6.6667
2004-09-14,4.6711
2004-09-15,2.7027
2004-09-16,-0.4896
2004-09-17,-3.6285
2004-09-18,
2004-09-19,
2004-09-20,2.1698
2004-09-21,2.1861
2004-09-22,-1.7726
2004-09-23,-2.2402
2004-09-24,2.1006
2004-09-25,
2004-09-26,
2004-09-27,-2.8055
2004-09-28,-3.7845
2004-09-29,5.0
2004-09-30,-0.7619
2004-10-01,6.5259
2004-10-02,
2004-10-03,
2004-10-04,1.3213
2004-10-05,0.1778
2004-10-06,2.071
2004-10-07,7.2464
2004-10-08,-4.7568
2004-10-09,
2004-10-10,
2004-10-11,3.1782
2004-10-12,1.1551
2004-10-13,0.5982
2004-10-14,-2.7568
2004-10-15,-0.0556
2004-10-16,
2004-10-17,
2004-10-18,1.7241
2004-10-19,-0.328
2004-10-20,-0.4388
2004-10-21,1.3774
2004-10-22,-5.4348
2004-10-23,
2004-10-24,
