ticker,LEN B UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
4/10/2003,-1.341
4/14/2003,0.4854
4/15/2003,2.029
4/16/2003,0.7576
4/21/2003,-1.3158
4/22/2003,3.3333
4/23/2003,0.6267
4/24/2003,-1.6487
4/25/2003,-2.3841
4/28/2003,1.4119
4/29/2003,-0.2822
4/30/2003,1.0377
5/1/2003,-1.8254
5/2/2003,0.4566
5/5/2003,0.7576
5/6/2003,-2.0113
5/7/2003,4.0668
5/8/2003,1.106
5/9/2003,2.8988
5/12/2003,2.2502
5/13/2003,-0.2426
5/14/2003,-0.9032
5/15/2003,2.5416
5/16/2003,-0.6154
5/19/2003,-1.1352
5/20/2003,-0.6611
5/21/2003,-0.1401
5/22/2003,4.7703
5/23/2003,2.3602
5/27/2003,0.0818
5/28/2003,4.4118
5/29/2003,-0.5477
5/30/2003,2.5177
6/2/2003,-0.614
6/3/2003,0.4788
6/4/2003,3.1356
6/5/2003,2.8018
6/6/2003,-1.7831
6/9/2003,-3.0701
6/10/2003,3.3349
6/11/2003,7.8691
6/12/2003,-0.2732
6/13/2003,0
6/16/2003,3.3151
6/17/2003,-0.9414
6/18/2003,-1.2984
6/19/2003,-0.3933
6/20/2003,-3.6079
6/23/2003,1.2006
6/24/2003,0.6699
6/25/2003,-2.4262
6/26/2003,2.3018
6/27/2003,-0.9722
6/30/2003,-3.6466
7/1/2003,1.8923
7/2/2003,1
7/3/2003,0.1132
7/7/2003,2.0769
7/8/2003,1.1073
7/9/2003,-1.6701
7/10/2003,-2.2692
7/11/2003,-1.1396
7/14/2003,2.4352
7/15/2003,-4.2903
7/16/2003,1.4109
7/17/2003,-3.1884
7/18/2003,-2.1707
7/21/2003,-2.9839
7/22/2003,3.2334
7/23/2003,-0.8556
7/24/2003,-0.262
7/25/2003,0.3708
7/28/2003,-1.9397
7/29/2003,0
7/30/2003,0.8634
7/31/2003,-3.2685
8/1/2003,-2.9566
8/4/2003,1.6584
8/5/2003,-2.0881
8/6/2003,4.9484
8/7/2003,0.5239
8/8/2003,1.4687
8/11/2003,-0.4358
8/12/2003,0.4377
8/13/2003,-3.9533
8/14/2003,0.6158
8/15/2003,0.9019
8/18/2003,0.1117
8/19/2003,3.5714
8/20/2003,-1.0622
8/21/2003,2.3028
8/22/2003,-1.597
8/25/2003,0.9274
8/26/2003,0.0613
8/27/2003,-1.3315
8/28/2003,2.063
8/29/2003,-1.5957
9/2/2003,-0.6641
9/3/2003,3.7469
9/4/2003,2.8023
