date,Currency
2004-01-04,94.0
2004-01-11,91.0
2004-01-18,94.0
2004-01-25,86.0
2004-02-01,85.0
2004-02-08,90.0
2004-02-15,91.0
2004-02-22,86.0
2004-02-29,92.0
2004-03-07,100.0
2004-03-14,97.0
2004-03-21,88.0
2004-03-28,94.0
2004-04-04,79.0
2004-04-11,89.0
2004-04-18,90.0
2004-04-25,87.0
2004-05-02,89.0
2004-05-09,90.0
2004-05-16,93.0
2004-05-23,95.0
2004-05-30,85.0
2004-06-06,96.0
2004-06-13,83.0
2004-06-20,83.0
2004-06-27,92.0
2004-07-04,84.0
2004-07-11,88.0
2004-07-18,91.0
2004-07-25,79.0
2004-08-01,81.0
2004-08-08,79.0
2004-08-15,84.0
2004-08-22,80.0
2004-08-29,74.0
2004-09-05,75.0
2004-09-12,79.0
2004-09-19,77.0
2004-09-26,87.0
2004-10-03,75.0
2004-10-10,78.0
2004-10-17,77.0
2004-10-24,77.0
2004-10-31,81.0
2004-11-07,80.0
2004-11-14,82.0
2004-11-21,82.0
2004-11-28,87.0
2004-12-05,87.0
2004-12-12,80.0
2004-12-19,75.0
2004-12-26,77.5
2005-01-02,83.0
2005-01-09,92.0
2005-01-16,86.0
2005-01-23,82.0
2005-01-30,85.0
2005-02-06,87.0
2005-02-13,85.0
2005-02-20,90.0
2005-02-27,90.0
2005-03-06,88.0
2005-03-13,85.0
2005-03-20,81.0
2005-03-27,85.0
2005-04-03,84.0
2005-04-10,89.0
2005-04-17,81.0
2005-04-24,89.0
2005-05-01,89.0
2005-05-08,91.0
2005-05-15,87.0
2005-05-22,83.0
2005-05-29,100.0
2005-06-05,84.0
2005-06-12,88.0
2005-06-19,84.0
2005-06-26,85.0
2005-07-03,83.0
2005-07-10,86.0
2005-07-17,88.0
2005-07-24,87.0
2005-07-31,77.0
2005-08-07,76.0
2005-08-14,73.0
2005-08-21,79.0
2005-08-28,71.0
2005-09-04,73.0
2005-09-11,70.0
2005-09-18,76.0
2005-09-25,70.0
2005-10-02,77.0
2005-10-09,71.0
2005-10-16,69.0
2005-10-23,73.0
2005-10-30,73.0
2005-11-06,76.0
