date,Mortgage calculator
2004-01-04,67.0
2004-01-11,78.0
2004-01-18,84.0
2004-01-25,78.0
2004-02-01,75.0
2004-02-08,75.0
2004-02-15,80.0
2004-02-22,77.0
2004-02-29,88.0
2004-03-07,97.0
2004-03-14,92.0
2004-03-21,100.0
2004-03-28,80.0
2004-04-04,86.0
2004-04-11,76.0
2004-04-18,79.0
2004-04-25,79.0
2004-05-02,77.0
2004-05-09,73.0
2004-05-16,76.0
2004-05-23,72.0
2004-05-30,72.0
2004-06-06,77.0
2004-06-13,75.0
2004-06-20,78.0
2004-06-27,73.0
2004-07-04,72.0
2004-07-11,84.0
2004-07-18,79.0
2004-07-25,72.0
2004-08-01,83.0
2004-08-08,79.0
2004-08-15,77.0
2004-08-22,69.0
2004-08-29,70.0
2004-09-05,65.0
2004-09-12,69.0
2004-09-19,64.0
2004-09-26,63.0
2004-10-03,68.0
2004-10-10,62.0
2004-10-17,58.0
2004-10-24,60.0
2004-10-31,59.0
2004-11-07,59.0
2004-11-14,61.0
2004-11-21,50.0
2004-11-28,53.0
2004-12-05,51.0
2004-12-12,52.0
2004-12-19,47.0
2004-12-26,71.5
2005-01-02,83.0
2005-01-09,85.0
2005-01-16,85.0
2005-01-23,82.0
2005-01-30,93.0
2005-02-06,93.0
2005-02-13,90.0
2005-02-20,95.0
2005-02-27,89.0
2005-03-06,93.0
2005-03-13,89.0
2005-03-20,94.0
2005-03-27,86.0
2005-04-03,98.0
2005-04-10,91.0
2005-04-17,92.0
2005-04-24,89.0
2005-05-01,90.0
2005-05-08,88.0
2005-05-15,91.0
2005-05-22,84.0
2005-05-29,98.0
2005-06-05,100.0
2005-06-12,98.0
2005-06-19,87.0
2005-06-26,94.0
2005-07-03,87.0
2005-07-10,90.0
2005-07-17,85.0
2005-07-24,95.0
2005-07-31,92.0
2005-08-07,89.0
2005-08-14,90.0
2005-08-21,82.0
2005-08-28,71.0
2005-09-04,72.0
2005-09-11,72.0
2005-09-18,73.0
2005-09-25,70.0
2005-10-02,66.0
2005-10-09,70.0
2005-10-16,71.0
2005-10-23,66.0
2005-10-30,67.0
2005-11-06,67.0
2005-11-13,67.0
2005-11-20,55.0
2005-11-27,63.0
2005-12-04,53.0
2005-12-11,49.0
2005-12-18,56.0
2005-12-25,76.0
2006-01-01,74.0
2006-01-08,80.0
2006-01-15,89.0
2006-01-22,86.0
2006-01-29,91.0
2006-02-05,84.0
2006-02-12,75.0
2006-02-19,93.0
2006-02-26,85.0
2006-03-05,92.0
2006-03-12,91.0
2006-03-19,96.0
2006-03-26,100.0
2006-04-02,92.0
2006-04-09,88.0
2006-04-16,95.0
2006-04-23,89.0
2006-04-30,91.0
2006-05-07,89.0
2006-05-14,84.0
2006-05-21,89.0
2006-05-28,86.0
2006-06-04,95.0
2006-06-11,92.0
2006-06-18,88.0
2006-06-25,89.0
2006-07-02,94.0
2006-07-09,97.0
2006-07-16,92.0
2006-07-23,91.0
2006-07-30,92.0
2006-08-06,95.0
2006-08-13,86.0
2006-08-20,86.0
2006-08-27,84.0
2006-09-03,83.0
2006-09-10,78.0
2006-09-17,78.0
2006-09-24,80.0
2006-10-01,84.0
2006-10-08,75.0
2006-10-15,77.0
2006-10-22,78.0
2006-10-29,77.0
2006-11-05,73.0
2006-11-12,76.0
2006-11-19,62.0
2006-11-26,73.0
2006-12-03,69.0
2006-12-10,65.0
2006-12-17,59.0
2006-12-24,70.0
2006-12-31,84.0
2007-01-07,93.0
2007-01-14,93.0
2007-01-21,94.0
2007-01-28,92.0
2007-02-04,84.0
2007-02-11,89.0
2007-02-18,93.0
2007-02-25,92.0
2007-03-04,94.0
2007-03-11,100.0
2007-03-18,96.0
2007-03-25,93.0
2007-04-01,93.0
2007-04-08,90.0
2007-04-15,88.0
2007-04-22,89.0
2007-04-29,93.0
2007-05-06,82.0
2007-05-13,85.0
2007-05-20,86.0
2007-05-27,86.0
2007-06-03,90.0
2007-06-10,92.0
2007-06-17,88.0
2007-06-24,91.0
2007-07-01,91.0
2007-07-08,89.0
2007-07-15,91.0
2007-07-22,90.0
2007-07-29,87.0
2007-08-05,86.0
2007-08-12,82.0
2007-08-19,78.0
2007-08-26,70.0
2007-09-02,74.0
2007-09-09,77.0
2007-09-16,80.0
2007-09-23,72.0
2007-09-30,64.0
2007-10-07,72.0
2007-10-14,66.0
2007-10-21,66.0
2007-10-28,67.0
2007-11-04,62.0
2007-11-11,60.0
2007-11-18,56.0
2007-11-25,64.0
2007-12-02,63.0
2007-12-09,58.0
2007-12-16,35.0
2007-12-23,39.0
2007-12-30,51.0
2008-01-06,63.0
2008-01-13,67.0
2008-01-20,100.0
2008-01-27,87.0
2008-02-03,69.0
2008-02-10,63.0
2008-02-17,61.0
2008-02-24,63.0
2008-03-02,63.0
2008-03-09,59.0
2008-03-16,72.0
2008-03-23,65.0
2008-03-30,62.0
2008-04-06,60.0
2008-04-13,58.0
2008-04-20,59.0
2008-04-27,58.0
2008-05-04,53.0
2008-05-11,53.0
2008-05-18,54.0
2008-05-25,52.0
2008-06-01,53.0
2008-06-08,50.0
2008-06-15,47.0
2008-06-22,49.0
2008-06-29,50.0
