date,Health
2004-01-04,92.0
2004-01-11,89.0
2004-01-18,90.0
2004-01-25,89.0
2004-02-01,98.0
2004-02-08,88.0
2004-02-15,95.0
2004-02-22,82.0
2004-02-29,84.0
2004-03-07,89.0
2004-03-14,83.0
2004-03-21,86.0
2004-03-28,90.0
2004-04-04,85.0
2004-04-11,88.0
2004-04-18,91.0
2004-04-25,86.0
2004-05-02,81.0
2004-05-09,88.0
2004-05-16,82.0
2004-05-23,79.0
2004-05-30,78.0
2004-06-06,81.0
2004-06-13,83.0
2004-06-20,84.0
2004-06-27,83.0
2004-07-04,82.0
2004-07-11,86.0
2004-07-18,91.0
2004-07-25,85.0
2004-08-01,81.0
2004-08-08,83.0
2004-08-15,83.0
2004-08-22,86.0
2004-08-29,85.0
2004-09-05,86.0
2004-09-12,88.0
2004-09-19,96.0
2004-09-26,88.0
2004-10-03,96.0
2004-10-10,91.0
2004-10-17,100.0
2004-10-24,91.0
2004-10-31,89.0
2004-11-07,90.0
2004-11-14,95.0
2004-11-21,75.0
2004-11-28,91.0
2004-12-05,82.0
2004-12-12,74.0
2004-12-19,61.0
2004-12-26,69.0
2005-01-02,91.0
2005-01-09,96.0
2005-01-16,92.0
2005-01-23,100.0
2005-01-30,99.0
2005-02-06,90.0
2005-02-13,95.0
2005-02-20,91.0
2005-02-27,92.0
2005-03-06,93.0
2005-03-13,89.0
2005-03-20,91.0
2005-03-27,92.0
2005-04-03,76.0
2005-04-10,94.0
2005-04-17,92.0
2005-04-24,87.0
2005-05-01,89.0
2005-05-08,86.0
2005-05-15,84.0
2005-05-22,84.0
2005-05-29,84.0
2005-06-05,85.0
2005-06-12,86.0
2005-06-19,84.0
2005-06-26,89.0
2005-07-03,75.0
2005-07-10,87.0
2005-07-17,87.0
2005-07-24,88.0
2005-07-31,84.0
2005-08-07,80.0
2005-08-14,88.0
2005-08-21,80.0
2005-08-28,81.0
2005-09-04,84.0
2005-09-11,87.0
2005-09-18,89.0
2005-09-25,87.0
2005-10-02,91.0
2005-10-09,89.0
2005-10-16,94.0
2005-10-23,88.0
2005-10-30,94.0
2005-11-06,82.0
2005-11-13,91.0
2005-11-20,71.0
2005-11-27,86.0
2005-12-04,76.0
2005-12-11,76.0
2005-12-18,66.0
2005-12-25,76.0
2006-01-01,93.0
2006-01-08,100.0
2006-01-15,91.0
2006-01-22,96.0
2006-01-29,100.0
2006-02-05,91.0
2006-02-12,91.0
2006-02-19,92.0
2006-02-26,91.0
2006-03-05,94.0
2006-03-12,90.0
2006-03-19,91.0
2006-03-26,92.0
2006-04-02,93.0
2006-04-09,91.0
2006-04-16,93.0
2006-04-23,92.0
2006-04-30,90.0
2006-05-07,87.0
2006-05-14,83.0
2006-05-21,78.0
2006-05-28,78.0
2006-06-04,89.0
2006-06-11,88.0
2006-06-18,89.0
2006-06-25,84.0
2006-07-02,78.0
2006-07-09,86.0
2006-07-16,89.0
2006-07-23,89.0
2006-07-30,88.0
2006-08-06,93.0
2006-08-13,85.0
2006-08-20,85.0
2006-08-27,84.0
2006-09-03,85.0
2006-09-10,93.0
2006-09-17,89.0
2006-09-24,93.0
2006-10-01,92.0
2006-10-08,91.0
2006-10-15,94.0
2006-10-22,88.0
2006-10-29,95.0
2006-11-05,89.0
2006-11-12,90.0
2006-11-19,70.0
2006-11-26,89.0
2006-12-03,84.0
2006-12-10,82.0
2006-12-17,75.0
2006-12-24,70.0
2006-12-31,95.0
2007-01-07,100.0
2007-01-14,89.0
2007-01-21,97.0
2007-01-28,92.0
2007-02-04,92.0
2007-02-11,87.0
2007-02-18,87.0
2007-02-25,93.0
2007-03-04,88.0
2007-03-11,86.0
2007-03-18,90.0
2007-03-25,89.0
2007-04-01,88.0
2007-04-08,87.0
2007-04-15,94.0
2007-04-22,86.0
2007-04-29,86.0
2007-05-06,91.0
2007-05-13,87.0
2007-05-20,86.0
2007-05-27,81.0
2007-06-03,88.0
2007-06-10,95.0
2007-06-17,87.0
2007-06-24,87.0
2007-07-01,79.0
2007-07-08,90.0
2007-07-15,93.0
2007-07-22,92.0
2007-07-29,91.0
2007-08-05,88.0
2007-08-12,89.0
2007-08-19,91.0
2007-08-26,91.0
2007-09-02,85.0
2007-09-09,94.0
2007-09-16,95.0
2007-09-23,97.0
2007-09-30,94.0
2007-10-07,95.0
2007-10-14,92.0
2007-10-21,97.0
2007-10-28,94.0
2007-11-04,95.0
2007-11-11,92.0
2007-11-18,68.0
2007-11-25,89.0
2007-12-02,84.0
2007-12-09,80.0
2007-12-16,73.0
2007-12-23,66.0
2007-12-30,85.0
2008-01-06,100.0
2008-01-13,94.0
2008-01-20,98.0
2008-01-27,91.0
2008-02-03,95.0
2008-02-10,93.0
2008-02-17,92.0
2008-02-24,94.0
2008-03-02,97.0
2008-03-09,92.0
2008-03-16,92.0
2008-03-23,96.0
2008-03-30,92.0
2008-04-06,93.0
2008-04-13,93.0
2008-04-20,94.0
2008-04-27,92.0
2008-05-04,91.0
2008-05-11,89.0
2008-05-18,91.0
2008-05-25,81.0
2008-06-01,89.0
2008-06-08,85.0
2008-06-15,91.0
2008-06-22,87.0
2008-06-29,80.0
2008-07-06,92.0
2008-07-13,90.0
2008-07-20,91.0
2008-07-27,87.0
2008-08-03,90.0
2008-08-10,85.0
2008-08-17,89.0
2008-08-24,88.0
2008-08-31,85.0
2008-09-07,89.0
2008-09-14,93.0
2008-09-21,91.0
2008-09-28,94.0
2008-10-05,95.0
2008-10-12,91.0
2008-10-19,95.0
2008-10-26,91.0
2008-11-02,90.0
2008-11-09,94.0
2008-11-16,95.0
2008-11-23,67.0
2008-11-30,92.0
2008-12-07,69.0
2008-12-14,63.0
2008-12-21,48.0
2008-12-28,64.0
2009-01-04,81.0
2009-01-11,81.0
2009-01-18,75.0
2009-01-25,75.0
2009-02-01,79.0
2009-02-08,78.0
2009-02-15,75.0
2009-02-22,80.0
2009-03-01,77.0
2009-03-08,76.0
2009-03-15,75.0
2009-03-22,77.0
2009-03-29,76.0
2009-04-05,72.0
2009-04-12,77.0
2009-04-19,75.0
2009-04-26,88.0
2009-05-03,78.0
2009-05-10,76.0
2009-05-17,74.0
2009-05-24,66.0
2009-05-31,74.0
2009-06-07,75.0
2009-06-14,77.0
2009-06-21,76.0
2009-06-28,71.0
2009-07-05,71.0
2009-07-12,78.0
2009-07-19,83.0
2009-07-26,86.0
2009-08-02,88.0
2009-08-09,98.0
2009-08-16,85.0
2009-08-23,85.0
2009-08-30,80.0
2009-09-06,91.0
2009-09-13,88.0
2009-09-20,83.0
2009-09-27,88.0
2009-10-04,88.0
2009-10-11,87.0
2009-10-18,95.0
2009-10-25,93.0
2009-11-01,100.0
2009-11-08,98.0
2009-11-15,87.0
2009-11-22,65.0
2009-11-29,80.0
2009-12-06,45.0
2009-12-13,43.0
2009-12-20,38.0
2009-12-27,37.0
2010-01-03,48.0
2010-01-10,47.0
2010-01-17,48.0
2010-01-24,46.0
2010-01-31,45.0
2010-02-07,43.0
2010-02-14,44.0
2010-02-21,44.0
2010-02-28,47.0
2010-03-07,46.0
2010-03-14,55.0
2010-03-21,100.0
2010-03-28,52.0
2010-04-04,47.0
2010-04-11,48.0
2010-04-18,45.0
2010-04-25,44.0
2010-05-02,43.0
2010-05-09,45.0
2010-05-16,42.0
2010-05-23,40.0
2010-05-30,39.0
2010-06-06,40.0
2010-06-13,41.0
2010-06-20,40.0
2010-06-27,39.0
2010-07-04,36.0
2010-07-11,37.0
2010-07-18,38.0
2010-07-25,38.0
2010-08-01,39.0
2010-08-08,39.0
2010-08-15,39.0
2010-08-22,38.0
2010-08-29,38.0
2010-09-05,38.0
2010-09-12,41.0
2010-09-19,42.0
2010-09-26,42.0
2010-10-03,41.0
2010-10-10,39.0
2010-10-17,41.0
2010-10-24,44.0
2010-10-31,43.0
2010-11-07,40.0
2010-11-14,40.0
2010-11-21,29.0
2010-11-28,84.0
2010-12-05,82.0
2010-12-12,77.0
