date,Consulting
2004-01-04,85.0
2004-01-11,85.0
2004-01-18,89.0
2004-01-25,86.0
2004-02-01,88.0
2004-02-08,92.0
2004-02-15,83.0
2004-02-22,82.0
2004-02-29,88.0
2004-03-07,82.0
2004-03-14,82.0
2004-03-21,77.0
2004-03-28,100.0
2004-04-04,78.0
2004-04-11,87.0
2004-04-18,76.0
2004-04-25,81.0
2004-05-02,73.0
2004-05-09,76.0
2004-05-16,83.0
2004-05-23,80.0
2004-05-30,73.0
2004-06-06,84.0
2004-06-13,83.0
2004-06-20,84.0
2004-06-27,85.0
2004-07-04,81.0
2004-07-11,90.0
2004-07-18,89.0
2004-07-25,86.0
2004-08-01,81.0
2004-08-08,79.0
2004-08-15,82.0
2004-08-22,81.0
2004-08-29,78.0
2004-09-05,74.0
2004-09-12,78.0
2004-09-19,81.0
2004-09-26,84.0
2004-10-03,71.0
2004-10-10,79.0
2004-10-17,75.0
2004-10-24,78.0
2004-10-31,72.0
2004-11-07,67.0
2004-11-14,74.0
2004-11-21,54.0
2004-11-28,67.0
2004-12-05,68.0
2004-12-12,63.0
2004-12-19,62.0
2004-12-26,64.5
2005-01-02,93.0
2005-01-09,97.0
2005-01-16,95.0
2005-01-23,93.0
2005-01-30,100.0
2005-02-06,92.0
2005-02-13,92.0
2005-02-20,98.0
2005-02-27,99.0
2005-03-06,98.0
2005-03-13,91.0
2005-03-20,97.0
2005-03-27,89.0
2005-04-03,89.0
2005-04-10,86.0
2005-04-17,93.0
2005-04-24,88.0
2005-05-01,85.0
2005-05-08,89.0
2005-05-15,83.0
2005-05-22,89.0
2005-05-29,85.0
2005-06-05,93.0
2005-06-12,93.0
2005-06-19,98.0
2005-06-26,90.0
2005-07-03,81.0
2005-07-10,93.0
2005-07-17,97.0
2005-07-24,91.0
2005-07-31,92.0
2005-08-07,89.0
2005-08-14,91.0
2005-08-21,81.0
2005-08-28,78.0
2005-09-04,75.0
2005-09-11,100.0
2005-09-18,95.0
2005-09-25,93.0
2005-10-02,88.0
2005-10-09,94.0
2005-10-16,90.0
2005-10-23,87.0
2005-10-30,89.0
2005-11-06,84.0
2005-11-13,86.0
2005-11-20,65.0
2005-11-27,80.0
2005-12-04,70.0
2005-12-11,78.0
2005-12-18,65.0
2005-12-25,67.0
2006-01-01,81.0
2006-01-08,94.0
2006-01-15,93.0
2006-01-22,99.0
2006-01-29,100.0
2006-02-05,92.0
2006-02-12,88.0
2006-02-19,93.0
2006-02-26,96.0
2006-03-05,96.0
2006-03-12,88.0
2006-03-19,95.0
2006-03-26,95.0
2006-04-02,87.0
2006-04-09,90.0
2006-04-16,85.0
2006-04-23,89.0
2006-04-30,84.0
2006-05-07,82.0
2006-05-14,89.0
2006-05-21,88.0
2006-05-28,78.0
2006-06-04,94.0
2006-06-11,88.0
2006-06-18,91.0
2006-06-25,88.0
2006-07-02,71.0
2006-07-09,93.0
2006-07-16,95.0
2006-07-23,92.0
2006-07-30,90.0
2006-08-06,92.0
2006-08-13,90.0
2006-08-20,86.0
2006-08-27,84.0
2006-09-03,81.0
2006-09-10,85.0
2006-09-17,92.0
2006-09-24,92.0
2006-10-01,90.0
2006-10-08,91.0
2006-10-15,88.0
2006-10-22,89.0
2006-10-29,90.0
2006-11-05,80.0
2006-11-12,81.0
2006-11-19,60.0
2006-11-26,78.0
2006-12-03,72.0
2006-12-10,76.0
2006-12-17,77.0
2006-12-24,61.0
2006-12-31,87.0
2007-01-07,95.0
2007-01-14,94.0
2007-01-21,100.0
2007-01-28,99.0
2007-02-04,94.0
2007-02-11,84.0
2007-02-18,88.0
2007-02-25,92.0
2007-03-04,93.0
2007-03-11,85.0
2007-03-18,87.0
2007-03-25,93.0
2007-04-01,85.0
2007-04-08,89.0
