Auto_Financing_3,Auto_Financing_4,Computer_Security_5,Consulting_2,Consulting_3,Consulting_4,Consulting_5,Development_Tools_5,Freight_&_Trucking_3,Freight_&_Trucking_4,Investment_5,Pharmacy_1,Pharmacy_2,Swimming_Pools_&_Spas_1,Swimming_Pools_&_Spas_2,Swimming_Pools_&_Spas_3,Swimming_Pools_&_Spas_4,Swimming_Pools_&_Spas_5,Unemployment_benefits_2,Unemployment_benefits_3,Unemployment_benefits_4,Unemployment_benefits_5,World_News_1,Fashion_&_Style_1,Krach_4,Freight_&_Trucking_5,Agrochemicals_3,Agrochemicals_4,Tourist_Destinations_1,Home_Improvement_1,Accounting_&_Auditing_4,Auto_Financing_5,Home_Improvement_2,Accounting_&_Auditing_5,Accounting_&_Auditing_3,Freight_&_Trucking_1,Investment_2,Auto_Financing_2,Civil_Engineering_1,Investment_3,Pharmacy_3,Tourist_Destinations_2,Tourist_Destinations_3,Accounting_&_Auditing_1,Pharmacy_4,Flooring_1,Printing_&_Publishing_2,Fast_Food_2,Investing_2,Krach_5,Civil_Engineering_2,Investment_4,Agrochemicals_2,Job_Listings_4,Transportation_&_Logistics_2,Transportation_&_Logistics_4,Printing_&_Publishing_1,Travel_2,Travel_5,Mortgage_1,Printing_&_Publishing_3,Interest_1,Mortgage_2,Newspapers_3,Fast_Food_1,Newspapers_4,Home_Improvement_3,Newspapers_2,Travel_3,World_News_2,Aviation_5,Home_Improvement_5,Travel_1,Travel_4,Agrochemicals_1,Aviation_4,Home_Improvement_4,Interest_2,Fitness_1,Fitness_2,Investment_1,Performing_Arts_3,Mortgage_3,Veterinarians_3,Fast_Food_3,Fast_Food_4,Krach_3,Veterinarians_4,Veterinarians_5,Trucks_&_SUVs_2,Trucks_&_SUVs_3,Accounting_&_Auditing_2,Health_1,Trucks_&_SUVs_4,Trucks_&_SUVs_5,Flooring_5,Fast_Food_5,Performing_Arts_1,Energy_&_Utilities_3,Weddings_4,Weddings_5,Transportation_&_Logistics_3,Mortgage_5,Business_&_Industrial_2,Construction_&_Maintenance_3,Krach_1,Construction_&_Maintenance_2,Construction_&_Maintenance_4,Krach_2,Transportation_&_Logistics_5,Home_&_Garden_1,Home_&_Garden_2,Data_Management_2,Home_Furnishings_2,Jobs_topic_3,Trucks_&_SUVs_1,Sports_1,Home_Furnishings_3,Civil_Engineering_4,Civil_Engineering_3,Private_employment_agency_1,Construction_&_Maintenance_5,Civil_Engineering_5,Business_&_Industrial_4,Developer_Jobs_2,Interest_5,Sports_2,Performing_Arts_5,Performing_Arts_4,Computer_Servers_5,Loan_1,Flooring_4,Loan_2,Loan_3,Loan_5,Data_Management_3,Data_Management_5,Developer_Jobs_3,Loan_4,Data_Management_4,Performing_Arts_2,Investing_3,Investing_1,Computer_Servers_4,Customer_Relationship_Management_(CRM)_1,Pharmacy_5,Printing_&_Publishing_4,Footwear_2,Flooring_3,Footwear_3,Investing_4,Printing_&_Publishing_5,Mortgage_4,Recession_5,Recession_2,Recession_3,Private_employment_agency_5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
